ADF  BIC,,,,,,
,Original data,,,First-differenced data,,
Series,Conclusion,Type,Lags,Conclusion,Type,Lags
GDP,I(1),trend,2,I(0),trend,1
Consumption,I(1),trend,3,I(0),trend,2
Cons:Dur,I(1),trend,3,I(0),trend,2
Cons:Svc,I(1),trend,4,I(0),trend,3
Cons:NonDur,I(1),trend,3,I(0),trend,2
Investment,I(1),trend,1,I(0),drift,1
FixedInv,I(1),trend,2,I(0),drift,1
Inv:Equip,I(1),trend,1,I(0),trend,1
FixInv:NonRes,I(1),trend,1,I(0),trend,1
FixedInv:Res,I(1),trend,1,I(0),drift,1
Ch. Inv/GDP,I(0),trend,1,I(0),drift,1
Gov.Spending,I(1),trend,4,I(0),drift,3
Gov:Fed,I(1),trend,4,I(0),drift,3
Gov:State&Local,I(1),trend,2,I(0),trend,1
Exports,I(1),trend,1,I(0),trend,2
Imports,I(1),trend,1,I(0),trend,1
Disp-Income,I(1),trend,1,I(0),trend,1
Ouput:NFB,I(1),trend,1,I(0),trend,1
Output:Bus,I(1),trend,1,I(0),trend,1
IP: Total index,I(1),trend,1,I(0),drift,1
IP: Final products,I(1),trend,1,I(0),drift,1
IP: Consumer goods,I(1),trend,1,I(0),drift,2
IP: Materials,I(1),trend,1,I(0),drift,1
IP: Dur gds materials,I(1),trend,4,I(0),trend,3
IP: Nondur gds materials,I(1),trend,2,I(0),trend,3
IP: Dur Cons. Goods,I(1),trend,1,I(0),drift,1
IP: Auto ,I(1),trend,1,I(0),drift,1
IP:NonDur Cons God,I(1),trend,1,I(0),trend,2
IP: Bus Equip,I(0),trend,1,I(0),drift,2
Emp:Nonfarm,I(1),trend,1,I(0),drift,1
Emp: Private,I(1),trend,2,I(0),drift,1
Emp: mfg,I(1),trend,2,I(0),trend,1
Emp:Services,I(1),trend,1,I(0),drift,1
Emp:Goods,I(1),drift,2,I(0),trend,1
Emp: DurGoods,I(1),trend,1,I(0),trend,1
Emp: Nondur Goods,I(1),trend,2,I(0),trend,1
Emp: Const,I(1),trend,1,I(0),drift,1
Emp: Edu&Health,I(1),trend,3,I(0),trend,2
Emp: Finance,I(1),trend,2,I(0),trend,1
Emp: Infor,I(1),trend,3,I(0),trend,2
Emp: Bus Serv,I(1),trend,2,I(0),trend,1
Emp:Leisure,I(1),trend,3,I(0),trend,2
Emp:OtherSvcs,I(1),trend,5,I(1),trend,4
Emp: Mining/NatRes,I(1),drift,2,I(0),drift,1
Emp:Trade&Trans,I(1),trend,1,I(0),trend,1
Emp: Gov,I(1),trend,3,I(0),trend,1
Emp:Retail,I(1),trend,1,I(0),trend,1
Emp:Wholesal,I(1),trend,2,I(0),trend,3
Emp: Gov(Fed),I(1),trend,2,I(0),drift,1
Emp: Gov (State),I(1),trend,1,I(0),trend,1
Emp: Gov (Local),I(1),trend,2,I(0),trend,1
Emp: Total (HHSurve),I(1),trend,3,I(0),drift,2
LF Part Rate,I(1),trend,1,I(0),trend,1
Unemp Rate,I(1),trend,1,I(0),drift,1
Urate_ST,I(0),drift,1,I(0),drift,3
Urate_LT,I(0),trend,1,I(0),drift,2
Urate: Age16-19,I(0),trend,3,I(0),drift,2
Urate:Age>20 Men,I(0),trend,1,I(0),drift,1
Urate: Age>20 Women,I(1),drift,1,I(0),drift,1
U: Dur<5wks,I(1),trend,4,I(0),drift,3
U:Dur5-14wks,I(1),trend,1,I(0),drift,1
U:dur>15-26wks,I(0),trend,1,I(0),drift,3
U: Dur>27wks,I(0),trend,1,I(0),drift,2
Emp:SlackWk,I(1),trend,1,I(0),drift,1
EmpHrs:Bus Sec,I(1),trend,2,I(0),drift,1
EmpHrs:nfb,I(1),trend,1,I(0),drift,1
AWH Man,I(0),trend,1,I(0),drift,1
AWH Overtime,I(1),trend,1,I(0),drift,1
Orders (DurMfg),I(1),trend,1,I(0),drift,1
Orders(ConsumerGoods/Mat.),I(1),trend,1,I(0),drift,1
UnfOrders(DurGds),I(1),trend,1,I(0),trend,1
Orders(NonDefCap),I(0),trend,3,I(0),drift,3
VendPerf,I(0),drift,1,I(0),drift,3
NAPM:INV,I(0),trend,2,I(0),drift,7
NAPM:ORD,I(0),drift,1,I(0),drift,3
PCED,I(1),trend,5,I(1),trend,4
PCED_LFE,I(1),trend,2,I(1),trend,1
GDP Defl,I(1),trend,3,I(1),trend,2
GPDI Defl,I(1),trend,1,I(0),drift,1
BusSec Defl,I(1),trend,3,I(0),trend,1
PCED_Goods,I(1),trend,1,I(0),drift,2
PCED_DurGoods,I(1),trend,2,I(0),trend,1
PCED_NDurGoods,I(1),trend,1,I(0),drift,1
PCED_Serv,I(0),trend,2,I(0),trend,1
PCED_HouseholdServices,I(0),trend,2,I(0),trend,1
PCED_MotorVec,I(1),trend,1,I(0),drift,2
PCED_DurHousehold,I(1),trend,2,I(0),trend,1
PCED_Recreation,I(1),trend,3,I(1),trend,2
PCED_OthDurGds,I(1),trend,2,I(0),drift,1
PCED_Food_Bev,I(1),trend,1,I(0),trend,1
PCED_Clothing,I(1),trend,2,I(0),trend,1
PCED_Gas_Enrgy,I(1),trend,2,I(0),drift,1
PCED_OthNDurGds,I(1),trend,1,I(0),trend,1
PCED_Housing-Utilities,I(1),trend,1,I(0),trend,1
PCED_HealthCare,I(1),trend,3,I(1),trend,2
PCED_TransSvg,I(1),trend,1,I(0),trend,2
PCED_RecServices,I(0),trend,1,I(0),trend,2
PCED_FoodServ_Acc.,I(1),trend,2,I(0),trend,1
PCED_FIRE,I(1),trend,2,I(0),drift,1
PCED_OtherServices,I(0),trend,1,I(0),trend,2
CPI,I(0),trend,1,I(0),trend,2
CPI_LFE,I(1),trend,3,I(1),trend,2
PPI:FinGds,I(1),trend,1,I(0),trend,1
PPI:FinConsGds,I(1),trend,1,I(0),trend,1
PPI:FinConsGds(Food),I(1),trend,1,I(0),trend,1
PPI:IndCom,I(1),trend,2,I(0),drift,1
PPI:IntMat,I(1),trend,2,I(0),drift,1
NAPM com price,I(0),trend,1,I(0),drift,1
Real_AHE:Const,I(1),trend,3,I(0),trend,2
Real_AHE:MFG,I(1),trend,3,I(0),trend,2
CPH:NFB,I(1),trend,1,I(0),drift,1
CPH:Bus,I(1),trend,1,I(0),drift,1
OPH:nfb,I(1),trend,1,I(0),trend,1
OPH:Bus,I(1),trend,1,I(0),trend,1
ULC:Bus,I(1),trend,3,I(0),drift,2
ULC:NFB,I(1),trend,3,I(0),drift,2
UNLPay:nfb,I(1),trend,1,I(0),drift,1
FedFunds,I(1),trend,3,I(0),drift,2
TB-3Mth,I(1),trend,7,I(0),drift,6
TM-6MTH,I(1),trend,3,I(0),drift,2
TB-1YR,I(1),trend,3,I(0),drift,2
TB-10YR,I(1),trend,1,I(0),drift,1
Com Paper,I(1),trend,3,I(0),drift,2
AAA Bond,I(1),drift,1,I(0),trend,1
BAA Bond,I(1),drift,1,I(0),trend,1
BAA_GS10,I(0),trend,1,I(0),drift,1
tb6m_tb3m,I(0),trend,1,I(0),drift,5
GS1_tb3m,I(1),trend,6,I(0),drift,5
GS10_tb3m,I(0),trend,1,I(0),drift,1
CP_Tbill Spread,I(0),trend,1,I(0),drift,1
Real_mbase,I(1),trend,14,I(1),trend,15
Real_m1,I(1),trend,1,I(0),trend,1
Real_m2,I(1),trend,1,I(0),trend,2
Real_mzm,I(1),trend,1,I(0),trend,2
Real_C&Lloand,I(0),trend,1,I(0),drift,2
Real_ConsLoans,I(1),trend,1,I(0),drift,1
Real_NonRevCredit,I(1),trend,1,I(0),trend,1
Real_LoansRealEst,I(1),trend,4,I(1),trend,3
Real_ConsuCred,I(1),trend,2,I(0),trend,1
S&P 500,I(1),trend,1,I(0),trend,1
DJIA,I(1),trend,1,I(0),trend,1
Ex rate: major,I(1),trend,1,I(0),drift,1
Cons. Expectations,I(1),trend,1,I(0),drift,1
IP: Energy Prds,I(1),trend,2,I(0),drift,7
Petroleum Stocks,I(1),trend,8,I(0),drift,7
Real_Price:Oil,I(1),trend,2,I(0),drift,1